Haughton,Pitcaple,Shift
361.23532543029074,73.93114881339044,-16200.89687796774
273.83227606046466,89.60334560378166,-34113.137866409204
229.7236137916205,93.64712359782514,-36341.80910505168
255.26957233266876,62.24877760462817,-15230.746344523644
298.15862033737955,54.835585614227526,-35213.94815481703
301.6075718993317,64.10136649916204,-34415.54983154799
349.90884653282603,87.29892417277577,-1913.5060339287936
281.39155766623844,69.00095159920232,-59946.29641348812
264.9123462477689,57.02845310819896,-6956.957346916821
349.7936316630712,89.83169604562814,12431.816184967916
367.884930208466,76.84886712538061,-18912.20800166877
300.4702044662929,77.5226751012115,12191.730325696142
269.268450994144,70.93229651770888,-17046.856426285296
281.7510002078895,78.70054962298256,7821.214968937587
310.4200356323229,68.55626501399446,-6396.012729568198
297.1438706662336,70.76105977429619,1203.2866358979045
311.14548879414934,66.76798726659452,-19299.819576452697
216.75742026002297,64.03131667508417,-24061.00030012861
298.88591461686934,100.40016591261688,-17946.51946516624
285.10646757118985,79.24933185960428,-23030.336222663813
376.21265937471367,69.39456043302943,-27367.405467289227
315.1083895834691,67.90837744571571,-17956.977233082198
333.4410926313953,96.199104017789,29699.42641387831
372.4286432119739,77.39093382405187,-18218.78408118178
339.3242621028157,52.96878020985385,-21373.829904265574
282.49097382955625,66.23335480215076,-229.8663988054268
306.72819263157567,71.17612512499491,28753.60250604765
276.85094120377704,73.23925031677278,-36061.23982860746
276.3764609245594,74.13437239706889,-31134.006173578124
285.71380571785664,61.09181128614611,-12305.71588499133
293.94857653698926,69.19585320810944,-37417.41038219655
233.83952964940636,88.67861772137398,-12597.591327109303
290.6805821857533,78.56528439627544,-22225.816382039357
298.11015136480967,64.1804425304116,-15327.215228457357
251.29516703796295,77.65114280526525,-7746.356792564191
289.01067511790967,61.385832198480585,-14678.245111938357
305.74861172274404,72.55473320565585,10330.272743447273
220.29144343114447,68.60851273814647,-34983.881319667154
303.8064639900267,83.09751611730638,-10556.040743571808
313.51425919231417,77.11552660212078,-27814.20527480729
280.4161239450758,84.05165602426494,-12794.438848443777
270.31954007532033,79.36426713361145,-17027.25260561751
275.3632721248489,76.3834964657889,2355.9078356861028
295.8997669960603,83.64016862865309,-16000.720216779437
272.42578931691054,87.91923153789244,-557.4603493850609
319.74459803210556,100.81783589570256,-17841.655329033085
325.6609896996724,79.17298694676401,-48875.97021527832
301.58978367320566,69.81928650210268,-33966.733819784495
249.09925340859988,75.90374768119052,-50793.60926359164
281.82776481718054,64.77399413494737,-36342.05085249612
332.1787443553447,79.14461696919619,-24016.25840858183
246.70278805698064,74.17192217203804,-21789.591465789035
251.2829220849784,71.9861064188671,-31631.99309382123
329.2102935431932,91.39243785364977,5980.661099996174
308.2577793920748,82.71017758105245,3084.977230135635
272.0118297494417,66.68219288038682,-9914.647990360589
352.87995089622194,71.1768855981875,-35809.82884294789
260.2689152889095,83.83077286832085,-16283.964749957917
277.7522711258835,76.39245014095121,-17549.945951094112
287.5589976963716,70.95668785314722,-15789.986713327044
300.30835415156093,90.8674469732202,-15960.207892723163
266.02230221949304,81.75166277671359,-36597.71603846135
293.6890841152113,89.94456781049075,-64952.7328926101
324.61555668557304,82.90463029157108,-14704.359555476303
302.5795539392965,69.34835430898379,-3267.645785380064
272.56458194387284,86.82910884505121,-31672.319459585786
281.2294401817932,88.44752968284115,-54916.25682516097
326.76153322012243,72.7030723704747,-8778.290515032659
287.1516630957314,67.43940820936692,15009.265211383834
265.3615372587841,59.33724936367364,-18182.094547033263
245.2635578447576,91.62749079837299,4361.338052791736
278.1575296422891,63.0664222796692,-2892.532879585806
268.66309943090846,73.63437410315645,-11155.46399340934
302.1477005961986,75.99905230836502,1251.6788057183876
279.36985229597536,71.11469110471161,-37504.63495148891
313.87118482082286,63.63392791853255,-15891.27709482242
294.5457455427812,78.51820395483314,-4860.996706552691
290.2140101186651,68.84476823792673,-17706.836313241765
241.83738039810189,74.60067456829455,-7206.669348806221
281.23464306784774,78.48324604539219,12179.20746848065
306.703439140246,73.07021195799102,-29768.975112481738
307.59810179874216,77.10389494056902,-20313.545856301647
324.4791634900985,78.72233782168564,12805.831107710128
304.2695594517036,52.715166795586406,-6750.195098451481
255.87911223958784,74.01229962327251,-44868.72249746296
268.96603958849965,80.37905400013976,-14122.900397679314
324.9138494944373,74.17341494849536,-28953.452530397863
349.68275631007026,70.30601423051053,-13582.744692534216
