Upstream1,Upstream2,Upstream3
707.7542180556475,40.98106277556545,129.69635962189267
772.1142089396753,49.48835245511549,133.91437287408442
746.714040799136,42.89435291001436,111.83477635354056
715.5611913679478,36.33440258913664,120.91337840027369
775.9697580656056,46.780811563073605,98.27801217313363
765.1796334688893,44.789005668129285,103.12988891355704
749.1903849521121,42.06818729898381,120.92382276874378
891.1155408975862,41.10446346450063,121.51267235662687
705.2892004629704,41.39417523015225,107.42741927837407
696.5088196909612,39.657155043792415,92.53171683606345
718.641441402422,45.49808616498442,130.85068219971723
730.851047727585,44.78760326672364,111.35416607405328
754.685510443753,39.56263892902449,132.35593004217358
679.5169768345763,51.94218099800874,125.41057232281926
697.8229525295177,39.37360608999214,107.70663943533044
732.2539250716125,33.9629053582242,106.94791076457481
601.1601349532555,42.39802243732085,116.27997573652708
763.8502130656655,40.153824718439154,140.55361027974783
645.6980804429188,44.51801702618807,102.99275724830012
756.396375335562,47.0773439370049,107.63847995120648
754.2262830255454,39.008419443992295,118.99337099915503
665.7458012795449,41.38703522278751,121.62369895743429
697.6467448754094,42.14631405780696,103.55344540796688
718.1577186621978,44.578563961897885,137.9690160942228
759.5691958920681,48.0389330354172,123.8842297821953
784.8569081121703,38.81754563281292,113.70433148721511
862.9820890670572,38.48559676917673,103.99292766373972
689.8482292585819,37.91576503885636,118.05258263354298
641.6710982137162,43.87442141016175,109.57393371581014
821.7155331003233,41.260813844539214,140.81788456391257
737.8357372143632,36.32367337641722,129.82599499662052
749.0412738137645,36.077130500080926,123.44875186976665
675.1638380072336,45.92435942167556,120.64998537698592
684.0940449029174,43.31223979016236,113.1841333074628
775.8310516871718,43.81620790997608,90.75785913474483
603.23120784904,50.64020315493097,154.79046748347457
787.6871993623689,40.09876625174023,141.26266702236097
873.6512300899096,41.247201844623,129.1656158269916
785.0100427093465,39.039685227418815,117.78511804312632
730.1074311061356,43.69233424445569,99.38887063540733
821.1189888479661,41.28526221904182,122.01280619092118
764.8383415124287,47.27880627904886,128.54078338103184
689.9393549387166,48.239851653415435,131.44332801608044
808.9744590577875,40.5580665855203,127.25088109868383
772.9728042689651,48.562656969373286,125.63725805364612
764.6740724255081,50.879658647221056,135.04455014340388
679.9703802797167,43.67120221930722,118.04908798554432
